Player0: bwmcts.combat.RandomScriptLogic@119cca4
Player1: NOK-AV
--- units: 112
Dragoons: 56	Zealots: 56 on each side
Win average: 0.0
Win average: 0.0
Win average: 0.0
Win average: 0.0
Win average: 0.0
Win average: 0.0
Win average: 0.0
Win average: 0.0
Win average: 0.0
Win average: 0.0
Win average: 0.0
Win average: 0.0
Win average: 0.0
Win average: 0.0
Win average: 0.0
Win average: 0.0
Win average: 0.0
Win average: 0.0
Win average: 0.0
Win average: 0.0
Win average: 0.0
Win average: 0.0
Win average: 0.043478260869565216
Win average: 0.041666666666666664
Win average: 0.04
Win average: 0.038461538461538464
Win average: 0.037037037037037035
Win average: 0.03571428571428571
Win average: 0.034482758620689655
Win average: 0.03333333333333333
Win average: 0.03225806451612903
Win average: 0.03125
Win average: 0.030303030303030304
Win average: 0.029411764705882353
Win average: 0.02857142857142857
Win average: 0.027777777777777776
Win average: 0.02702702702702703
Win average: 0.02631578947368421
Win average: 0.02564102564102564
Win average: 0.025
Win average: 0.024390243902439025
Win average: 0.023809523809523808
Win average: 0.023255813953488372
Win average: 0.022727272727272728
Win average: 0.022222222222222223
Win average: 0.021739130434782608
Win average: 0.02127659574468085
Win average: 0.020833333333333332
Win average: 0.02040816326530612
Win average: 0.02
Win average: 0.0196078431372549
Win average: 0.019230769230769232
Win average: 0.018867924528301886
Win average: 0.018518518518518517
Win average: 0.01818181818181818
Win average: 0.017857142857142856
Win average: 0.017543859649122806
Win average: 0.017241379310344827
Win average: 0.01694915254237288
Win average: 0.016666666666666666
Win average: 0.01639344262295082
Win average: 0.016129032258064516
Win average: 0.015873015873015872
Win average: 0.015625
Win average: 0.015384615384615385
Win average: 0.015151515151515152
Win average: 0.014925373134328358
Win average: 0.014705882352941176
Win average: 0.014492753623188406
Win average: 0.014285714285714285
Win average: 0.014084507042253521
Win average: 0.013888888888888888
Win average: 0.0136986301369863
Win average: 0.013513513513513514
Win average: 0.013333333333333334
Win average: 0.013157894736842105
Win average: 0.012987012987012988
Win average: 0.01282051282051282
Win average: 0.012658227848101266
Win average: 0.0125
Win average: 0.012345679012345678
Win average: 0.012195121951219513
Win average: 0.012048192771084338
Win average: 0.011904761904761904
Win average: 0.011764705882352941
Win average: 0.011627906976744186
Win average: 0.011494252873563218
Win average: 0.011363636363636364
Win average: 0.011235955056179775
Win average: 0.011111111111111112
Win average: 0.01098901098901099
Win average: 0.010869565217391304
Win average: 0.010752688172043012
Win average: 0.010638297872340425
Win average: 0.010526315789473684
Win average: 0.010416666666666666
Win average: 0.010309278350515464
Win average: 0.01020408163265306
Win average: 0.010101010101010102
Win average: 0.01
--------------- Score average: -181.26	Deviation: 48.913110716862
--------------- Win average: 0.01
DRAGOON ZEALOT TEST RESULT: 0.01
--- units: 128
Dragoons: 64	Zealots: 64 on each side
Win average: 0.0
Win average: 0.0
Win average: 0.0
Win average: 0.0
Win average: 0.0
Win average: 0.0
Win average: 0.0
Win average: 0.0
Win average: 0.0
Win average: 0.0
Win average: 0.0
Win average: 0.0
Win average: 0.0
Win average: 0.0
Win average: 0.0
Win average: 0.0
Win average: 0.0
Win average: 0.0
Win average: 0.0
Win average: 0.0
Win average: 0.0
Win average: 0.0
Win average: 0.0
Win average: 0.0
Win average: 0.0
