Player0: GUCT_DynamicKMeans - hpMulitplier: 1.0	clusters: 6	K: 1.600000023841858	maxChildren: 20	maxPlayerIndex: 0	debug: false	simulationSteps: 2147483647	nokModelling: true	LTD2: true
Player1: NOK-AV
--- units: 4
Dragoons: 2	Zealots: 2 on each side
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 0.8571428571428571
Win average: 0.875
Win average: 0.8888888888888888
Win average: 0.9
Win average: 0.9090909090909091
Win average: 0.9166666666666666
Win average: 0.9230769230769231
Win average: 0.9285714285714286
Win average: 0.9333333333333333
Win average: 0.9375
Win average: 0.9411764705882353
Win average: 0.9444444444444444
Win average: 0.9473684210526315
Win average: 0.95
Win average: 0.9523809523809523
Win average: 0.9545454545454546
Win average: 0.9565217391304348
Win average: 0.9583333333333334
Win average: 0.96
Win average: 0.9615384615384616
Win average: 0.9629629629629629
Win average: 0.9642857142857143
Win average: 0.9655172413793104
Win average: 0.9666666666666667
Win average: 0.967741935483871
Win average: 0.96875
Win average: 0.9696969696969697
Win average: 0.9705882352941176
Win average: 0.9714285714285714
Win average: 0.9722222222222222
Win average: 0.972972972972973
Win average: 0.9736842105263158
Win average: 0.9487179487179487
Win average: 0.95
Win average: 0.9512195121951219
Win average: 0.9523809523809523
Win average: 0.9534883720930233
Win average: 0.9545454545454546
Win average: 0.9555555555555556
Win average: 0.9565217391304348
Win average: 0.9574468085106383
Win average: 0.9583333333333334
Win average: 0.9591836734693877
Win average: 0.96
Win average: 0.9607843137254902
Win average: 0.9615384615384616
Win average: 0.9622641509433962
Win average: 0.9629629629629629
Win average: 0.9636363636363636
Win average: 0.9642857142857143
Win average: 0.9649122807017544
Win average: 0.9655172413793104
Win average: 0.9661016949152542
Win average: 0.9666666666666667
Win average: 0.9672131147540983
Win average: 0.967741935483871
Win average: 0.9682539682539683
Win average: 0.96875
Win average: 0.9692307692307692
Win average: 0.9696969696969697
Win average: 0.9701492537313433
Win average: 0.9705882352941176
Win average: 0.9710144927536232
Win average: 0.9714285714285714
Win average: 0.9577464788732394
Win average: 0.9583333333333334
Win average: 0.9452054794520548
Win average: 0.9459459459459459
Win average: 0.9466666666666667
Win average: 0.9473684210526315
Win average: 0.948051948051948
Win average: 0.9487179487179487
Win average: 0.9493670886075949
Win average: 0.9375
Win average: 0.9382716049382716
Win average: 0.9390243902439024
Win average: 0.9397590361445783
Win average: 0.9404761904761905
Win average: 0.9294117647058824
Win average: 0.9186046511627907
Win average: 0.9195402298850575
Win average: 0.9204545454545454
Win average: 0.9213483146067416
Win average: 0.9222222222222223
Win average: 0.9230769230769231
