Player0: bwmcts.combat.RandomScriptLogic@119cca4
Player1: NOK-AV
--- units: 4
Dragoons: 2	Zealots: 2 on each side
Win average: 0.0
Win average: 0.5
Win average: 0.3333333333333333
Win average: 0.25
Win average: 0.2
Win average: 0.16666666666666666
Win average: 0.14285714285714285
Win average: 0.25
Win average: 0.2222222222222222
Win average: 0.2
Win average: 0.18181818181818182
Win average: 0.16666666666666666
Win average: 0.23076923076923078
Win average: 0.21428571428571427
Win average: 0.2
Win average: 0.1875
Win average: 0.17647058823529413
Win average: 0.16666666666666666
Win average: 0.15789473684210525
Win average: 0.15
Win average: 0.14285714285714285
Win average: 0.13636363636363635
Win average: 0.17391304347826086
Win average: 0.16666666666666666
Win average: 0.16
Win average: 0.15384615384615385
Win average: 0.14814814814814814
Win average: 0.14285714285714285
Win average: 0.13793103448275862
Win average: 0.13333333333333333
Win average: 0.12903225806451613
Win average: 0.15625
Win average: 0.15151515151515152
Win average: 0.14705882352941177
Win average: 0.14285714285714285
Win average: 0.16666666666666666
Win average: 0.1891891891891892
Win average: 0.18421052631578946
Win average: 0.20512820512820512
Win average: 0.2
Win average: 0.1951219512195122
Win average: 0.21428571428571427
Win average: 0.20930232558139536
Win average: 0.20454545454545456
Win average: 0.2
Win average: 0.21739130434782608
Win average: 0.2127659574468085
Win average: 0.20833333333333334
Win average: 0.20408163265306123
Win average: 0.2
Win average: 0.19607843137254902
Win average: 0.19230769230769232
Win average: 0.18867924528301888
Win average: 0.18518518518518517
Win average: 0.2
Win average: 0.19642857142857142
Win average: 0.19298245614035087
Win average: 0.20689655172413793
Win average: 0.2033898305084746
Win average: 0.2
Win average: 0.19672131147540983
Win average: 0.1935483870967742
Win average: 0.19047619047619047
Win average: 0.1875
Win average: 0.18461538461538463
Win average: 0.18181818181818182
Win average: 0.19402985074626866
Win average: 0.20588235294117646
Win average: 0.2028985507246377
Win average: 0.2
Win average: 0.19718309859154928
Win average: 0.19444444444444445
Win average: 0.1917808219178082
Win average: 0.1891891891891892
Win average: 0.18666666666666668
Win average: 0.18421052631578946
Win average: 0.18181818181818182
Win average: 0.1794871794871795
Win average: 0.17721518987341772
Win average: 0.175
Win average: 0.1728395061728395
Win average: 0.17073170731707318
Win average: 0.1686746987951807
Win average: 0.17857142857142858
Win average: 0.17647058823529413
Win average: 0.1744186046511628
Win average: 0.1839080459770115
Win average: 0.18181818181818182
Win average: 0.1797752808988764
Win average: 0.18888888888888888
Win average: 0.18681318681318682
Win average: 0.1956521739130435
Win average: 0.20430107526881722
Win average: 0.2127659574468085
Win average: 0.21052631578947367
Win average: 0.20833333333333334
Win average: 0.21649484536082475
Win average: 0.21428571428571427
